ticker,industry,high_dividend_yield_overall_rank,high_dividend_yield_per_industry_rank,high_eps_overall_rank,high_eps_per_industry_rank,high_market_cap_overall_rank,high_market_cap_per_industry_rank,low_pe_absolute_overall_rank,low_pe_absolute_per_industry_rank,low_pe_relative_industry_overall_rank,low_pe_relative_industry_per_industry_rank,high_dividend_yield_overall_value,high_dividend_yield_per_industry_value,high_eps_overall_value,high_eps_per_industry_value,high_market_cap_overall_value,high_market_cap_per_industry_value,low_pe_absolute_overall_value,low_pe_absolute_per_industry_value,low_pe_relative_industry_overall_value,low_pe_relative_industry_per_industry_value,selected_in
OBL.AX,Financial Services,,,39.0,,,,27.0,2.0,41.0,2.0,,,1.23,,,,1.1788619,1.1788619,0.05490496077354924,0.05490496077354924,"high_eps_overall, low_pe_absolute_overall, low_pe_absolute_per_industry, low_pe_relative_industry_overall, low_pe_relative_industry_per_industry"
OEL.AX,Energy,1.0,1.0,,,,,,,,,146.0,146.0,,,,,,,,,"high_dividend_yield_overall, high_dividend_yield_per_industry"
OEQ.AX,Financial Services,,,,,,,48.0,,,,,,,,,,2.3125,,,,low_pe_absolute_overall
OPH.AX,Not Applic,49.0,,,,,,,,,,8.42,,,,,,,,,,high_dividend_yield_overall
ORG.AX,Utilities,,,,1.0,37.0,1.0,,,,,,,,0.86,19518730240.0,19518730240.0,,,,,"high_eps_per_industry, high_market_cap_overall, high_market_cap_per_industry"
PAC.AX,Financial Services,,,38.0,,,,,,,,,,1.24,,,,,,,,high_eps_overall
PLS.AX,Materials,,,,,47.0,,,,,,,,,,14107337728.0,,,,,,high_market_cap_overall
PME.AX,Health Care Equipment & Services,,,44.0,,30.0,,,,,,,,1.11,,23586004992.0,,,,,,"high_eps_overall, high_market_cap_overall"
PTL.AX,Household & Personal Products,,,,,,,26.0,1.0,,1.0,,,,,,,1.15,1.15,,0.30486008746727516,"low_pe_absolute_overall, low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
PXA.AX,Real Estate Management & Development,,,,,,2.0,,,,,,,,,,2424265216.0,,,,,high_market_cap_per_industry
QAN.AX,Transportation,,,50.0,1.0,45.0,2.0,,,,,,,1.04,1.04,15555687424.0,15555687424.0,,,,,"high_eps_overall, high_eps_per_industry, high_market_cap_overall, high_market_cap_per_industry"
QBE.AX,Insurance,,,19.0,1.0,24.0,1.0,,2.0,,2.0,,,1.99,1.99,29781082112.0,29781082112.0,,9.909548,,0.49355962025264066,"high_eps_overall, high_eps_per_industry, high_market_cap_overall, high_market_cap_per_industry, low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
QFE.AX,Financial Services,3.0,1.0,,,,,,,,,100.0,100.0,,,,,,,,,"high_dividend_yield_overall, high_dividend_yield_per_industry"
QUE.AX,Financial Services,,,,,,,39.0,,,,,,,,,,1.8666668,,,,low_pe_absolute_overall
RAN.AX,Materials,,,,,,,5.0,,5.0,,,,,,,,0.042857144,,0.0008882569793729304,,"low_pe_absolute_overall, low_pe_relative_industry_overall"
RCM.AX,Materials,,,,,,,43.0,,32.0,,,,,,,,2.0,,0.041451991265350326,,"low_pe_absolute_overall, low_pe_relative_industry_overall"
REA.AX,Media & Entertainment,,,10.0,1.0,29.0,2.0,,,,,,,5.12,5.12,24355809280.0,24355809280.0,,,,,"high_eps_overall, high_eps_per_industry, high_market_cap_overall, high_market_cap_per_industry"
REP.AX,Equity Real Estate Investment Trusts (REITs),48.0,,,,,,,,,,8.47,,,,,,,,,,high_dividend_yield_overall
RFG.AX,Consumer Services,,,,,,,,2.0,,2.0,,,,,,,,6.7123227,,0.1481509057216664,"low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
RIO.AX,Materials,,,3.0,2.0,3.0,1.0,,,,,,,9.43,9.43,239761031168.0,239761031168.0,,,,,"high_eps_overall, high_eps_per_industry, high_market_cap_overall, high_market_cap_per_industry"
RMD.AX,Health Care Equipment & Services,,,28.0,2.0,16.0,1.0,,,,,,,1.47,1.47,52868993024.0,52868993024.0,,,,,"high_eps_overall, high_eps_per_industry, high_market_cap_overall, high_market_cap_per_industry"
RPM.AX,Automobiles & Components,,,,,,,,2.0,,2.0,,,,,,,,2.6000001,,0.12766818920493098,"low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
RTR.AX,Materials,,,,,,,36.0,,28.0,,,,,,,,1.6538461,,0.03427760704571685,,"low_pe_absolute_overall, low_pe_relative_industry_overall"
S32.AX,Materials,,,,,44.0,,,,,,,,,,15729463296.0,,,,,,high_market_cap_overall
S66.AX,Household & Personal Products,,1.0,,1.0,,,,,,,,1.48,,0.04,,,,,,,"high_dividend_yield_per_industry, high_eps_per_industry"
SCG.AX,Equity Real Estate Investment Trusts (REITs),,,,,33.0,2.0,,,,,,,,,21856788480.0,21856788480.0,,,,,"high_market_cap_overall, high_market_cap_per_industry"
SEN.AX,Technology Hardware & Equipment,31.0,1.0,,,,,,,,,10.11,10.11,,,,,,,,,"high_dividend_yield_overall, high_dividend_yield_per_industry"
SEQ.AX,Financial Services,14.0,,,,,,,,,,14.29,,,,,,,,,,high_dividend_yield_overall
SFC.AX,Automobiles & Components,,2.0,23.0,1.0,,,,,,,,4.5,1.79,1.79,,,,,,,"high_dividend_yield_per_industry, high_eps_overall, high_eps_per_industry"
SFX.AX,Materials,,,,,,,,,44.0,,,,,,,,,,0.06594173651053852,,low_pe_relative_industry_overall
SGH.AX,Capital Goods,,,,,39.0,1.0,,,,,,,,,19177754624.0,19177754624.0,,,,,"high_market_cap_overall, high_market_cap_per_industry"
SGP.AX,Equity Real Estate Investment Trusts (REITs),,,,,46.0,,,,,,,,,,14170858496.0,,,,,,high_market_cap_overall
SHL.AX,Health Care Equipment & Services,,2.0,47.0,,,,,,,,,4.74,1.07,,,,,,,,"high_dividend_yield_per_industry, high_eps_overall"
SIG.AX,Health Care Equipment & Services,,,,,22.0,2.0,,,,,,,,,34273763328.0,34273763328.0,,,,,"high_market_cap_overall, high_market_cap_per_industry"
SMR.AX,Materials,18.0,,,,,,,,,,12.75,,,,,,,,,,high_dividend_yield_overall
SNZ.AX,Health Care Equipment & Services,,,33.0,,,,,,,,,,1.34,,,,,,,,high_eps_overall
SOL.AX,Financial Services,,,45.0,,48.0,,,,,,,,1.11,,13806281728.0,,,,,,"high_eps_overall, high_market_cap_overall"
SPK.AX,Telecommunication Services,24.0,1.0,,2.0,,,,2.0,,2.0,11.06,11.06,,0.12,,,,16.375,,0.08824713799422651,"high_dividend_yield_overall, high_dividend_yield_per_industry, high_eps_per_industry, low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
SRV.AX,Real Estate Management & Development,,,,2.0,,,,,,,,,,0.53,,,,,,,high_eps_per_industry
STO.AX,Energy,,,,,35.0,2.0,,,,,,,,,19811414016.0,19811414016.0,,,,,"high_market_cap_overall, high_market_cap_per_industry"
STP.AX,Consumer Discretionary Distribution & Retail,9.0,1.0,,,,,,2.0,,2.0,19.43,19.43,,,,,,5.0,,0.1849134771892747,"high_dividend_yield_overall, high_dividend_yield_per_industry, low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
SUN.AX,Insurance,,,32.0,,40.0,2.0,,,,,,,1.36,,19157696512.0,19157696512.0,,,,,"high_eps_overall, high_market_cap_overall, high_market_cap_per_industry"
SVG.AX,Materials,,,,,,,2.0,2.0,2.0,2.0,,,,,,,0.014166667,0.014166667,0.00029361827837156337,0.00029361827837156337,"low_pe_absolute_overall, low_pe_absolute_per_industry, low_pe_relative_industry_overall, low_pe_relative_industry_per_industry"
SVR.AX,Financial Services,39.0,,,,,,,,,,9.09,,,,,,,,,,high_dividend_yield_overall
TCF.AX,Not Applic,26.0,,,,,,,,,,10.99,,,,,,,,,,high_dividend_yield_overall
TCL.AX,Transportation,,,,,17.0,1.0,,,,,,,,,45039886336.0,45039886336.0,,,,,"high_market_cap_overall, high_market_cap_per_industry"
TER.AX,Energy,6.0,2.0,,,,,,,,,46.51,46.51,,,,,,,,,"high_dividend_yield_overall, high_dividend_yield_per_industry"
TIA.AX,Real Estate Management & Development,,,,,,,34.0,1.0,46.0,1.0,,,,,,,1.5999999,1.5999999,0.07006471133900653,0.07006471133900653,"low_pe_absolute_overall, low_pe_absolute_per_industry, low_pe_relative_industry_overall, low_pe_relative_industry_per_industry"
TLS.AX,Telecommunication Services,,,,1.0,15.0,1.0,,,,,,,,0.19,54586445824.0,54586445824.0,,,,,"high_eps_per_industry, high_market_cap_overall, high_market_cap_per_industry"
TLX.AX,"Pharmaceuticals, Biotechnology & Life Sciences",,,,,,2.0,,,,,,,,,,3979874304.0,,,,,high_market_cap_per_industry
TPC.AX,Utilities,,1.0,,,,,,,,,,6.59,,,,,,,,,high_dividend_yield_per_industry
TPG.AX,Telecommunication Services,,,,,,2.0,,,,,,,,,,7557662720.0,,,,,high_market_cap_per_industry
TWE.AX,"Food, Beverage & Tobacco",,2.0,,2.0,,2.0,,,,,,7.42,,0.54,,4352086528.0,,,,,"high_dividend_yield_per_industry, high_eps_per_industry, high_market_cap_per_industry"
TWR.AX,Insurance,20.0,1.0,,,,,,1.0,,1.0,12.5,12.5,,,,,,8.724999,,0.43456141421835487,"high_dividend_yield_overall, high_dividend_yield_per_industry, low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
VBX.AX,Materials,,,,,,,20.0,,18.0,,,,,,,,0.88112193,,0.01826212927303431,,"low_pe_absolute_overall, low_pe_relative_industry_overall"
VEN.AX,Energy,,,,,,,41.0,2.0,,2.0,,,,,,,2.0,2.0,,0.09066849999699567,"low_pe_absolute_overall, low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
VGN.AX,Transportation,,,,2.0,,,,2.0,,2.0,,,,0.65,,,,5.4,,0.14331865891163503,"high_eps_per_industry, low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
VIT.AX,Health Care Equipment & Services,,,,,,,,2.0,,2.0,,,,,,,,6.1000004,,0.1323188008579255,"low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
VLS.AX,"Pharmaceuticals, Biotechnology & Life Sciences",,2.0,,,,,,,,,,3.54,,,,,,,,,high_dividend_yield_per_industry
VMT.AX,Automobiles & Components,,,,,,,37.0,1.0,,1.0,,,,,,,1.725,1.725,,0.08470292996469729,"low_pe_absolute_overall, low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
WAM.AX,Not Applic,43.0,,,,,,,,,,8.76,,,,,,,,,,high_dividend_yield_overall
WAT.AX,Consumer Durables & Apparel,,,,2.0,,,,,,,,,,0.27,,,,,,,high_eps_per_industry
WBC.AX,Banks,,,18.0,,6.0,2.0,,,,,,,1.99,,133795659776.0,133795659776.0,,,,,"high_eps_overall, high_market_cap_overall, high_market_cap_per_industry"
WBT.AX,Semiconductors & Semiconductor Equipment,,,,,,1.0,,,,,,,,,,1027295936.0,,,,,high_market_cap_per_industry
WDS.AX,Energy,,,16.0,1.0,18.0,1.0,,,,,,,2.32,2.32,44029480960.0,44029480960.0,,,,,"high_eps_overall, high_eps_per_industry, high_market_cap_overall, high_market_cap_per_industry"
WES.AX,Consumer Discretionary Distribution & Retail,,,14.0,2.0,9.0,1.0,,,,,,,2.58,2.58,92593651712.0,92593651712.0,,,,,"high_eps_overall, high_eps_per_industry, high_market_cap_overall, high_market_cap_per_industry"
WHC.AX,Energy,,,,2.0,,,,,,,,,,0.8,,,,,,,high_eps_per_industry
WNX.AX,"Food, Beverage & Tobacco",,,,,,,38.0,1.0,,1.0,,,,,,,1.8199999,1.8199999,,0.12102292501486617,"low_pe_absolute_overall, low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
WOW.AX,Consumer Staples Distribution & Retail,,,,2.0,20.0,1.0,,,,,,,,0.79,35792855040.0,35792855040.0,,,,,"high_eps_per_industry, high_market_cap_overall, high_market_cap_per_industry"
WTC.AX,Software & Services,,,,,31.0,1.0,,,,,,,,,23108923392.0,23108923392.0,,,,,"high_market_cap_overall, high_market_cap_per_industry"
WTL.AX,Financial Services,45.0,,,,,,,,,,8.57,,,,,,,,,,high_dividend_yield_overall
WWG.AX,Transportation,,2.0,,,,,,,,,,5.45,,,,,,,,,high_dividend_yield_per_industry
X2M.AX,Technology Hardware & Equipment,,,,,,,14.0,1.0,24.0,1.0,,,,,,,0.5,0.5,0.02600550483013197,0.02600550483013197,"low_pe_absolute_overall, low_pe_absolute_per_industry, low_pe_relative_industry_overall, low_pe_relative_industry_per_industry"
XRO.AX,Software & Services,,,27.0,1.0,36.0,2.0,,,,,,,1.49,1.49,19568910336.0,19568910336.0,,,,,"high_eps_overall, high_eps_per_industry, high_market_cap_overall, high_market_cap_per_industry"
XYZ.AX,Financial Services,,,5.0,2.0,14.0,2.0,,,,,,,7.47,7.47,60112273408.0,60112273408.0,,,,,"high_eps_overall, high_eps_per_industry, high_market_cap_overall, high_market_cap_per_industry"
YAL.AX,Energy,21.0,,,,,,,,,,11.78,,,,,,,,,,high_dividend_yield_overall
